2011-08-21 15:15:50 Debug: Notice (8): Undefined offset: 1 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:15:50 Debug: Notice (8): Undefined offset: 2 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:15:50 Debug: Notice (8): Undefined offset: 3 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:15:50 Debug: Notice (8): Undefined offset: 4 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:16:10 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\quizscript\app\controllers\questions_controller.php, line 21]
2011-08-21 15:16:10 Debug: Notice (8): Undefined offset: 1 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:16:10 Debug: Notice (8): Undefined offset: 2 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:16:10 Debug: Notice (8): Undefined offset: 3 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:16:10 Debug: Notice (8): Undefined offset: 4 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:16:27 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\quizscript\app\controllers\questions_controller.php, line 21]
2011-08-21 15:16:27 Debug: Notice (8): Undefined offset: 1 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:16:27 Debug: Notice (8): Undefined offset: 2 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:16:27 Debug: Notice (8): Undefined offset: 3 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:16:27 Debug: Notice (8): Undefined offset: 4 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:17:51 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\quizscript\app\controllers\questions_controller.php, line 21]
2011-08-21 15:17:51 Debug: Notice (8): Undefined offset: 1 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:17:51 Debug: Notice (8): Undefined offset: 2 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:17:51 Debug: Notice (8): Undefined offset: 3 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:17:51 Debug: Notice (8): Undefined offset: 4 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:18:07 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\quizscript\app\controllers\questions_controller.php, line 21]
2011-08-21 15:18:07 Debug: Notice (8): Undefined offset: 1 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:18:07 Debug: Notice (8): Undefined offset: 2 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:18:07 Debug: Notice (8): Undefined offset: 3 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:18:07 Debug: Notice (8): Undefined offset: 4 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:18:08 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\quizscript\app\controllers\questions_controller.php, line 21]
2011-08-21 15:18:08 Debug: Notice (8): Undefined offset: 1 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:18:08 Debug: Notice (8): Undefined offset: 2 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:18:08 Debug: Notice (8): Undefined offset: 3 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
